ID,content
67,"sering banget eror 😭 .. daebak, pas dapet email dari balesan komenku ternyata jangan pakai wifi. omg, semudah itu aku baru tau wkwkwk ok thanks sudah meresponnya!!❤️ aku ganti bintangnya jadi 5🔥"
68,"Livin Udah Seminggu Lebih Belum Bisa Ini kEdala Paling Lama Dari Bank Mau Transfer,Top up,isi Pulsa, Bayar2 dll pada gak bisa Anehhhhhhhhhhhhh Bin Ajaib Jangan Dibalas pakai sistem Gak Guna Percuma Kalo gak ada hasilnya"
69,Selamat malam Aplikasi mandiri M banking saya login keluar sendiri tlg di bantu ya..terima kasih
70,sa kasih bintang 3 dulu karna sdh terdafatar masih loading ulng lagi datanya sdh masuk tapi kenapa masih harus punya kartu dulu tolong perbaiki🙏
71,setelah update malah gak bisa di buka livinya!!! tolong di perbaiki apk livinya!!!!!
72,kenapa sekarang Livin mandiri ga bisa lagi daftar online?
73,sering eror
74,tidak bisa mmbuka apk
75,livin lgi kenapa si buat transfer tidak bisa terus
76,kenapa livin tidak bisa tekan PIN
77,indah
78,Aplikasi yang sangat menjengkelkan bikin naik dara. dari kemarin sampe detik ini loading terus
79,Ada apa ya biasanya lancar2 saja 🙏🙏🙏
80,"kenapa untuk log in gk skarang,di ulang berkali kali tetap gk bisa"
81,banyak kemudahan juga lancar dalam transaksi bentuk banking
82,iyaaa
83,"Livin apa bgt si? masa iya skrg harus bolak-balik restart hp. Dibuat transaksi ga bisa, buka apk katanya ga aman. Aplikasi bukannya memudahkan malah tambah repot"
84,kenapa ya tidak bisa login ke menu selalu keluar otomatis
85,klo lupa sandi cara ny gmna y
86,terbaik
87,kenapa di samsung tab s6lite tidak tersedia ya?
88,"WOiii dibenerin lah ini aplikasi, orang mau transfer urgent malah pake error segala, udh gitu pemeliharaan jaringan lama banget, coba hubungin CS yg ada bertele-tele dan ruwet, hasil akhirnya malah gak ada dan juga zonk update: verifikasi wajah juga gak jelas banget, saya sudah verifikasi gagal terus, mending gak usah ada verifikasi wajah kali error mulu, lagian saya mau pake buat transaksi keuangan bukan mau pinjoll"
89,mntap
90,Tolong Perbaiki Riwayat Transaksi Masa Cuma tertera nominal sama nama dan gak bisa di download juga
91,mantap
92,pengisian data pekerjaan nya gak jelas bgt
93,bagus
94,kok di aku udah gak bisa liat no rek dan saldo ? gimana mau lihat saldo sma rek
95,mudan mudahan bermanfaat bagi kitasemua
96,aplikasi error terus sudah berhari-hari. tulisan Belum Berhasil Terhubung terus
97,aq dah punya rekening ..trus dowload apk baru ..pas masuk knpa gk ada pilihan masukn rekening..cuma ada pilihan buat baru sama kartu debit kak
98,"bantu saya dong ,,kartu ATM saya masa aktif nya habis dan engga bisa masuk ke living lagi ,, cara ngaktifin kartu dan biyar bisa masuk ke living lagi yang tau bantu saya dong posisi saya jauh dari cabang atau pun pusat saya posisi LG di taiwan"
99,aplikasi yang sangat membantu dalam bertransaksi
100,mantap..lancar
101,"mau login di HP tp kode OTP knpa ga terkirim ya via SMS ? udah nyoba berkali-kali selama 3 hari ini, pulsa dan masa aktif kartu padahal masih ada"
102,ini kenapa yaa mauu log in keluar teruss herannn bgttt
103,"min,mau nanya nerima tranferan d atas jam 12 malam kok belum masuk ya"
104,bagus
105,bagus
106,tolong pihak bank mandiri atau pun Livin by mandiri perbaiki......
107,sangat membantu nasabah dalam bertransaksi
108,kenapa gw gak bisa login?
109,"ini kenapa dari kemarin nggak bisa transfer,top up dll ya hadehhhh"
110,say.a daftar ketika verif muka logout terus dari aplikasi kenapa
111,"Sayah senang pakay livin mandiri, sukses trus bang mandiri, Mantaap"
112,"kenapa saya tidak bisa daftar ,,, setiap kali saya mencoba ujung2xa yang muncul gambar tangga"
113,👍
114,livin dibuka malah keluar sendiri
115,"Misi Livin by mandiri Kenapaa tiba tiba saldo saya berkurang sendiri yaa? Tiba tiba terpotong aja saldo saya, walaupun nominalnya nya kecil tapi merugikan saya"
116,"tiap diatas jam 12 malem ga bisa transaksi, maintenance terus2an. udah gitu lama bgt maintenancenya. dan tiap keluhan ga pernah ada solusinya. bank lain ga segitu lamanya tiap maintenance."
117,terima kasih banyak atas adanya Livin yang membantu daya
118,kebanyakan pemeliharaan 👎👎 stop mwnggubanakan bank ini
119,"buruk. di saat emergency kita butuh, selalu gangguan"
120,mantap
121,baik
122,"Hari Ini Tepatnya Jam 00:00 Tgl 07 April 2025 Kok Tiba2 Livin By Mandiri Saya Tidak Bisa Digunakan,Ketika Saya Buka Malah Suruh Daftar Kembali Dan Masukan Nomor Yg Tertera Di Kartu Atm,Seperti Bikin Di Awal.Padahal Sorenya Masih Bisa Saya Pakai Untuk Transaksi."
123,"gila emang aplikasi ini, kok gak bisa dibuka, alsannya suruh ganti pin, pas sudah diproses smpai akhir malah gak bisabisa bikin kode pin baru, ada aja kendalannya ,pdahal udah diisi dg teliti dan benar, padahal lagi butuh banget, bukannya simple tapi maalah tambah ribet,masa sekelas bank ,aplikasi nya jelek banget sih, gini mah rugi kalo uang saya gak bisa ditarik karna apk nya masalh terus,"
124,"Kalau top up e walet kok bisa?mengapa top token gak bisa?bukannya sama saja?lagipula ini dalam keadaan urgent ngerti enggak sih urgent?tidak tahu waktu kalau dalam keadaan darurat. Terus saya harus ngisi nya ke mana?apa saya harus ke Alfa atau Indomart?percuma saja hari ini sudah tutup! Percuma saja punya fitur prabayar PLN tapi, transaksinya tidak dapat diproses. Memangnya situ mo bertanggung jawab kalau listrik di rumah saya tiba2 padam?hah! Ayo segera perbaiki!"
125,sering error
126,sangat baik
127,"livin ini lagi knp sih, udah hampir seminggu ini mau transfer selalu gagal katanya,"
128,okeh.
129,terima kasih
130,"pin bangking trbelokir suda buka di ATM pas masuk aplikasi masih tidak bisa hnya keterangan tunggu 24 jam, repot dn GK beres mandiri livin"
131,akhir2 ini Livin kenapa yaa??
132,"aplikasi tiba2 menganggap saya adalah tidak mmpunyai akun,mengapa demikian?rekg saya sejak 2008,ok. apa karena atm exp 12/24 bukankah livin bisa tarik tunai tanpa kartu atm. tidak apa,masih bank lain selain mandiri. bye bye bank mandiri"
133,selalu terupdate!
134,cukup baik
135,sangat membantu sekali
136,sudah cukup baik
137,knp Livin sekarang g bisa kebuka yh?
138,aplikasi gabisa kebuk loading mulu
139,"tidak bisa login di perangkat baru, layanan tidak tersedia, ujung-ujungnya suruh datang sndiri ke kantor cabang... nyusahin sekali tidak seperti aplikasi yang sebelah"
140,"diantara mbanking yg aku punya, mandiri ini teribet dan paling susah. terutama ketika ganti hape buat login ulang ga bisa2. harus datang ke bank nya.. pdhl mbanking lain gampang buat login ulang. verifikasinya ribet.. pdhl lg butuh tp ga bisa2. yakali weekend ke bank.. tutup juga kan 😰"
141,KAK ?????????????? SAYA MOHON KASIH SAYA FITUR K S M LIVIN SERBAGUNA BY MANDIRI NYA KAK 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏
142,"andai saja ada apk mod bank, unlimited money mungkin bisa transfer sana sini😓"
143,saya sudah mendownload aplikasi livin ..lalu ter.unistal ..gimana cara nya bisa menemuka livin yang sudah hilang inistal
144,istimewa
145,Livin by Mandiri yang baik banyak fitur untuk kita gunakan.
146,ini livin'by mandiri lgi kenapa saya mau buka eh malah suruh registrasi ulang udah saya ulang ttep aja gk bisa kebuka mohon penjelasannya
147,Isi dana ga bisa aneh
148,regis pakai KTP???
149,bank paling lelet minta refund dana karna pending aja harus tunggu 26 hari kerja... parah ini bank. juga banyak kendala di aplikasi livin nya.. setelah ini saya kapok pake mandiri buat transaksi
150,"saya beli pulsa 100k lewat livin, saldo sudah terpotong tapi pulsa tidak masuk. saya harus bagaimana?"
151,"tidak bisa masuk selalu ada peringatan untuk mengubah password, padahal Sudah di rubah semua namun ttp tidak bisa"
152,Baik
153,"duit sering ilang ga jelas,"
154,baik
155,baik dan mudah
156,"Tidak bisa verifikasi wajah, padahal sudah semua saya lakukan cara²nya, lihat YouTube dll tapi tetap di bisa."
157,Aplikasi gajelas! Pengaturan tanggal dan waktu mulu keluarnya! padahal settingan tanggal dan waktu dihp memang selalu otomatis! APLIKASI RUSAK!
158,bagus suka banggat...
159,sangat bagus dan mudah di gunakan
160,aplikasinya sering lemut.gak sat set
161,"susah bener ini verifikasi wajah, jadi gak bisa pakai aplikasi nya dong! 👎👎"
162,"eWow, sangat aman serta berguna untuk keluar kota dan membawa uang tunai,..."
163,apk gajelas
164,gabisa dibuka
165,kenapa gak bisa masukin nmr rekening 😡
166,KSM saya sudah tertahan 1x cicilan.. trs sudah auto debit 1x cicilan cicilan.. kenapa masih auto debit lagi jadinya yang tertahan 2x cicilan.. parah
167,kenapa ATM aku diblokir ya? padahal aku nggk ngapa²in. apa karna aku jarang isi saldo ya?
168,Mantab
169,Tadinya Ok. Tapi seminggu terakhir ini kok g bisa digunakan ya. Minta update. Sudah di update diplaystore masih juga g bisa digunakan. Hufthh
170,"sejauh ini selama saya menggunakan aplikasi livin, benar-benar sangat terbantu dengan tampilan yang simple dan mudah. namun, ada satu kendala yang pernah saya alami dimana, saat top up pulsa diatas jam 12 malam, saldo terpotong namun, pulsa belum juga masuk & tanpa ada fitur untuk bisa mengecek pemberitahuan ataupun membatalkan transaksi. semoga kedepannya dapat ditindaklanjuti. mohon untuk diperbaiki sistemnya. terima kasih"
171,"ini kok saya top up pulsa jam 1 pagi gk masuk ya,tapi saldonya udah kepotong gimana sh"
172,sering update terus.. untuk hp2 yg ram kecil tidak bisa update..
173,good but sometimes lag
174,bagus
175,very good
176,saya suka
177,bales email saya
178,biaya administrasi kartu debit nya kok mahal banget yahh sampe 8000 mana tiap bulan nyape 4 kali lohh
179,sering gangguan
180,ini spk mandiri kenapa ya kok yumben eror gini kak buat tf ndak bisa topup ndak bisa??
181,keren🙏🏻👍🏻
182,perbaikan terus ...stres..percuma ngeluh gak ada solusi..jawaban...mohon maaf atas ketidak nyamanan...prreeeet
183,"lama lama kesel juga ya, aplikasi gak mutu, jam segini di buat transfer selalu dalam pemeliharaan, bener bener bikin emosi, rasanya pengen hapus balik lagi ke BNI"
184,"klo pemeliharaan jgn lama donk ,, qta ga tau kan kpn dn jam berapa butuh transfer ,, lgian tiap hari bgt pemeliharaan aneh ,,bener² bikin emosi jiwa"
185,Livin ini kenapa ya setiap hari pemeliharaan produk terus ayolah jangan mempersulit
186,😃
187,"mohon bantuannya ?, agar bisa di munculkan livi paylater...sejak ganti kartu yang ketelan di mesin atm ..livin paylater gak mucul muncul di aplikasi"
188,"oke dibanding apk bank lain, apk ini lebih ringan, dan lebih mudah digunakan hanya saja saat ini ada perubahan tampilan dari yg sebelumnya jadinya agak kaget tapi sejauh ini oke2 aja kok"
189,"update tiap bulan ,bosen juga"
190,bagus
191,kenapa di aplikasi livin saya gak muncul paylater yah?
192,"setiap pencet ""punya kartu debit"" keluar terus , bagaimana bisa login nya...."
193,Alhamdulillah bagus
194,Tolong livin di permudah pin yang terblokir jangan langsung ke cabang mandiri tolong di bantu biar di selesaikan di online saja terimakaaih
195,sangat menyenangkan
196,"proses buka aplikasi smpai ke halaman login lama, sampe sy booking tiket jd hangus...."
197,sangat² mengecewakan sekali.sudah melapor masih tdak bisa untuk di gunakan untuk melakukan pembayaran
198,lumayan
199,nyaman sekali
200,ok
201,bagus
202,"saya mau buka Livin di hp yg baru di hp sebelumnya sudah sy hapus sudah ikutin arahan ,terakhir verifikasi wajah suruh ulang terus ,sampai 10x gagal terus ..kenapa dgn wajahku ..sampai ganti kerudung .. masih gagal padahal mau buat transaksi ..kenapa dgnkuuu dan dgnmuuu..😭😭😭"
203,aplikasi paling memuaskan
204,ga bisa di versi android 9.0 nge bug terus xiomi 6
205,bank madiri sangan mebantu bagi kariwana yang punya pekerjaan tetap
206,ini kenapa ya udh 2 minggu lebih mbankin gabisa digunain? setiap masuk keluar mulu...bug apa gimana ini..tolong dong gimana nih livin?
207,sangat membantu
208,apk sangat membantu
209,sekarang sering banget di suruh update dan nggak bisa login sebelum di update
210,SANGAT jelek' sekali
211,"livin mandiri ini sangat kacau sistem nya,, update nya slalu lama, saldoku mesti 0. padahal tgl jatuh tempo udah lewat dan udah di debet,, knapa saldoku blom balik, udah lewat 3hari loh.. contoh nih skrg tgl 5 april blom balik saldoku masih 0 rupiah, pdahal tgl 1 udah di debet buat pembayaran angsuran otomatis."
212,kenapa tidak bisa login lagi dengan sidik jari ya?
213,kak kenapa di HP saya livin nya gak bisa ya di gunakan perangkat HP saya nolak ke ini apk
214,Luar biasa bagus
215,bagus nyaman aplikasi ini
216,selalu salah sandi pdhl sandi bener aneh banget. sering eror.
217,"jelek, gak bisa bayar tagihan PDAM krn kode wilayah yg dimunculkan sangat terbatas dn sedikit.. nyesal pake aplikasi ini,."
218,kenapa si ga bisa login!!!!!
219,livin nya sekarang knp ya mau buka aj susah banget.....?????
220,minta update terus..bikin kesel
221,"saya tidak bisa masuk livin mandiri ,verifikasi nya loading lama banget terus keluar lagi ke menu utama bagaimana ini. walaupun sudah ke centernya tetap tidak bisa membantu.?"
222,masalh apa ini masa kode otp dimasukin terus lagi ada kendala cepetan kalo ngatasi
223,"Gangguan, moga cepat dibenerin"
224,lancar jaya
225,"kami sedang melakukan pengecekan untuk memastikan anda dapat terhubung.silahkan kembali sesaat lagi, ya katanya sesaat kok nggk bisa2"
226,bgus good..sygnya punyaku udh kblokir krna klmaan gk diisi sih ini
227,menyala
228,mantap
229,PERMINTAAN TIDAK DAPAT DI PROSES SISTEM OPERASI HANDPHONE ANDA TIDAK MENDUKUNG UNTUK PENGGUNAAN LIVIN' DEMI KEAMANAN GUNAKAN HANDPHONE DENGAN SISTEM OPERASI YANG RESMI. JIKA PERLU INFORMASI LEBIH LANJUT .HUBUNGI MANDIRI 14000 ini baru di ganti handphone baru Xiaomi note 14 pro + kenapa sistem operasi android 14 tidak mendukung?
230,parah untuk verifikasi wajah gabisa terus
231,bagus
232,bagus
233,kenapa lyvin by mandiri Susa TF trs untuk masuk ke sandi aja tidak bisa terbuka mohon di jelankan.tr saya da hapus dn saya juga mendownload ulang saya pikir mungkin membaik ternyata untuk masukan nomor kartu aja angkanya ga terbuka
234,ok
235,bagus
236,kadang kadang susah terbuka aplikasi..padahal lagi perlu
237,Baik
238,jos
239,"pertama versi android tidak mendukung, di restart bisa, nah giliran dibuat password baru. disuruh ulang hampir 1000x. kocak livin"
240,"mudah, cepat & tak pernah ada kendala"
241,biar lebih mudah lagi
242,"Mmudahkn gk Usah jauh""pngmbiln uang,apl ini,,"
243,"emang ada - ada aja ni kendala di aplikasi nya , orang verifikasi wajah aja ampe keram ni sejam gak jadi"" saran aja mending verifikasi wajah itu jangan yg terlalu berlebihan kasih potret aja mendingan dari pada kaya gini susah"
244,bagus
245,"Mantap aplikasi nya...., 👍"
246,mau transfer aja tidak berhasil Mulu kocak !!
247,parah sih tiap mlm pasti eror gila malah makin males pake mandiri
248,bnyk pmlihraan
249,gajelas sering bet gagal mulu
250,"kenapa lewat dari jam 12 malam selalu errror kadang gagal transaksi, saran saya system & server harus nya online 24jam."
251,sudah 2x ini saldo saya hilang atau terpotong secara tidak jelas walaupun hanya nominal kecil tapi itu sangat merugikan sekali dan sudah dicek diriwayat mutasi rekening pun tidak ada. jadi ragu simpan saldo dilivin mandiri !!! saya harap jika emang ada biaya administrasi tambahan atau apapun itu bentuknya diharapkan untuk ditampilkan diriwayat mutasi rekening agar lebih paham pada pengguna atau nasabah. untuk nasabah ataupun pengguna Livin mandiri saya harap sering2 cek saldo anda sangat bahaya!
252,luar biasa
253,gajelas sistem nya setiap mo trf ke dana susah nmr transaksi tidak di temukan terus pdhl uda ngeklik yg di riwayat transaksi terakhir
254,"hallo saya mau tanya nih, cara cek kartu debit lewat email gimana caranya yahh .. saya sudah kirim email beberapa kali ke mandiricare tapi tidak ada respon sama sekali,,,"
255,oke
256,sangat membantu
257,"dikit2 pemeliharaan, dikit2 pemeliharaan."
258,baik
259,bagus
260,Sempurna 👍
261,mantul 👍🌟🌟👍👍👍👍👍🌟👍👍
262,mantapp
263,KENAPA NIH APLIKASI GAK BISA DI UPDATE
264,"saya ingin melakukan KSM TOP UP , kenapa gak bisa di website? dan di APK Livin' by Mandiri juga tidak muncul. padahal sisa angsuran saya hanya 4 bulan lagi."
265,suruh update malah gak bisa di buka gimana nih livin jadi gini🤦🏽‍♂️🤦🏽‍♂️
266,cepat dan mantap
267,knpa potongan administrasi di Livin kok besar ya tiap bulan nya
268,ok punya
269,"ribet amat mau pengajuan naik limit doang , udah nunggu 7 hari belum selesai , hubungi email , data udah dikirim lengkap ,disuruh kirim lagi , ribet"
270,"dalan hal ini. saya tidak bisa daftar ,mohon bantuannya admin.. terimakasih"
271,"aplikasi semenjak di update jadi rusak mau apa² susah, bukanya di benerin malah dibiarin aja, gmn sih pihak dari mandiri nya kasihan lah org banyak udh bayar mahal🥱"
272,mau instal ulang kok malah g bs terus knp ini y padahal sdh banyak apl yg dihapus kok masih g bs jg🙏
273,"Livin saya kenapa ya g bisa dibuka saya takut saldonya hilang,mana iklan terus yg pahan bantu komen 🙏"
274,"selalu forced close waktu selfie, jadi gak bisa login"
275,ok
276,"Livin nya bagus, cuman saya kadang kesel gara' tiap dikit gerak harus update 😊"
277,"Saya buka disuruh Update tapi ga mau kebuka juga malah muncul Update lagi,setelah saya buka diplay store lalu update baru bisa login."
278,semoga bermanfaat untuk selamanya bank mandiri
279,banyak kemudahan yang diperoleh
280,"Kita di anjurkan update aplikasi, setelah kita update malah perintahnya install di perangkat lain. Tolong di bantu supaya update nya di perangkat kita yg sudah ada aplikasi kasi livinnya Kita di anjurkan update aplikasi Livin, setelah kita update malahan di suruh di install di perangkat lain. Seharusnya ya di update di perangkat yg kita pakai sendiri. Updatenya kok malah sulit sekali"
281,ini kenpa apk nya suka perbaikan
282,kenapa pas mau masukin no kartu itu harus nelpon dulu 14000 ya ??
283,sangat membantu..
284,apalagi ini livin malah kartu terblokir apasih
285,kenapa aplikasi livin saya tidak bisa di buka pas saya buka lasung keluar mohon penjelasanya
286,k bisaaaa yaaa ada potongan tiba² 260k tiap bulan apaaan siii ini apk eror yaaaa buat gaa nyaman ajaaa😏
287,"aplikasi ruet plus rewel, mau ubah pin susah, entah terlalu sama lah apalah mls"
288,knapa saat verifikasi wajah di hp redmi 8 tidak bisa ya?? sblumnya lancar2 saja.. di instal di hp lain malah bisa.. mohon pnjlasan..
289,"selalu kena transaksi tdak dapat diproses, jadi kita pindahin dananya ke aplikasi yang bisa diandalkan saja"
290,kenapa loging verifikasi wajah susah selalu gagal dan selalu kelebihan batas
291,"Sangat mengecewakan padahal saya sudah lama pakai ini, dari kemarin tiba tiba tidak bisa melakukan pengisian saldo top up g*pay, kacau sekali aplikasi nya sangat mengecewakan"
292,"Layanan via WhatsApp teman mita nya kurang gercep,tolong di perbaiki minn"
293,setidaknya standar saldo minim 50 ribu
294,tidak bisa daftar .selalu gagal verifikasi wajah
295,ini aplikasi nya kenapa ya setiap mau buka aplikasi nya selalu tdk bisa
296,tdk jelas
297,APLIKASI PALING MANTAP
298,"saya tidak bisa menggunakan livin permintaan tidak dapat diproses, ada notifikasi "" sistem operasi anda tidak mendukung untuk penggunaan livin"" padahal saya menggunakan android 14 yg terbaru, mohon penjelasnya."
299,"ka, kenapa ya livin saya masukin pasword selalu ngelek gtu, jadi lama banget setiap masukin 1 angka pasword udah 2x saya un instal masih selalu bgtu... bantuannya ka."
300,mantap jiwa.
301,top
302,"hallo min, kenapa aplikasi livin tidak bisa dibuka"
303,livin by Mandiri tidak aktif
304,min saya gak bisa login
305,"kenapa enggak bisa transfer dan top up sudah seminggu lebih, padahal jaringan full, cuma bisa Terima transfer saja"
306,bagus
307,sangat puas dengan adanya Livin ini
308,"terbaik, mudah untuk di pakai"
309,bagus
310,ok
311,kenapa ribet kali mau masuk aja sih heran kali.... katanya nih apk mempermudah tapi ribet kali bjirrr sailalap layanan tidak bisa silakan ke cabang setempat heran kali kulihat nya😑😑
312,aplikasi sering eror pdhal sering di gunakan tp sering eror
313,sangat bagus
314,ini ngapa woiii kagak bisa TF gua hadehhh
315,Praktis sangat memudahkan
316,"kenapa sih livin mandiri tiap malam selalu pemeliharaan trus, mau transaksi malam"" ujung-ujungnya gak bisa,,???"
